1,7074,237,67
2,6151,80,36
3,8320,247,69
4,1149,107,41
5,795,212,62
6,2307,188,57
7,1357,221,64
8,9072,324,84
9,4067,144,48
10,215,196,59
11,5,246,69
12,202,75,35
13,261,236,67
14,182,249,69
15,9978,246,69
16,2659,37,27
17,3780,244,68
18,4091,218,63
19,2465,435,107
20,879,105,41
21,2803,106,41
22,1629,284,76
23,826,240,68
24,6541,329,85
25,57,385,97
26,2795,249,69
27,387,173,54
28,7936,241,68
29,49,249,69
30,2123,249,69
31,589,431,106
32,8149,23,24
33,734,215,63
34,1435,114,42
35,2655,171,54
36,2854,249,69
37,1943,352,90
38,8671,142,48
39,832,130,46
40,4122,240,68
41,4756,248,69
42,1965,267,73
43,6891,242,68
44,545,287,77
45,1253,162,52
46,9153,202,60
47,4346,13,22
48,1960,337,87
49,1615,64,32
50,4706,315,83
51,2356,246,69
52,9035,331,86
53,233,268,73
54,4136,233,66
55,3866,244,68
56,6197,243,68
57,2026,246,69
58,369,244,68
59,3124,235,67
60,304,308,81
61,118,248,69
62,2483,113,42
63,9699,358,91
64,4709,238,67
65,5643,239,67
66,889,246,69
67,3444,246,69
68,247,134,46
69,170,85,37
70,285,125,45
71,64,387,97
72,34,219,63
73,327,246,69
74,6383,134,46
75,4336,423,104
76,4115,114,42
77,98,248,69
78,2734,249,69
79,57,247,69
80,2157,59,31
81,3315,117,43
82,33,248,69
83,9999,247,69
84,7931,248,69
85,9956,249,69
86,7591,249,69
87,1,336,87
88,3554,247,69
89,282,237,67
90,8345,59,31
91,1316,212,62
92,3385,230,66
93,4749,249,69
94,2846,116,43
95,950,481,116
96,3356,263,72
97,5613,188,57
98,17,123,44
99,6958,340,88
100,7638,46,29
101,9595,126,45
102,8170,460,112
103,4472,224,64
104,285,47,29
105,7913,249,69
106,4247,246,69
107,3989,246,69
108,4932,243,68
109,1106,246,69
110,63,186,57
111,520,179,55
112,2636,432,106
113,807,213,62
114,5196,248,69
115,2251,201,60
116,8923,231,66
117,1157,27,25
118,1916,249,69
119,1216,199,59
120,6958,246,69
121,4587,226,65
122,2351,243,68
123,5094,247,69
124,3893,249,69
125,1741,157,51
126,4567,185,57
127,1231,247,69
128,3737,189,57
129,5362,242,68
130,5504,247,69
131,8489,163,52
132,4291,245,69
133,2863,249,69
134,701,263,72
135,4732,249,69
136,136,240,68
137,3353,200,60
138,4468,244,68
139,6038,244,68
140,1112,247,69
141,9691,249,69
142,6862,242,68
143,372,233,66
144,9194,328,85
145,5870,155,51
146,159,162,52
147,1500,102,40
148,8899,324,84
149,7442,247,69
150,6317,213,62
151,908,305,81
152,8283,258,71
153,2510,206,61
154,281,245,69
155,7488,224,64
156,2178,25,25
157,2488,244,68
158,343,163,52
159,5315,248,69
160,3664,224,64
161,7040,139,47
162,335,246,69
163,2514,248,69
164,205,240,68
165,1080,352,90
166,8262,191,58
167,7018,60,32
168,2489,242,68
169,1582,175,55
170,3734,245,69
171,244,249,69
172,128,181,56
173,1348,244,68
174,1123,249,69
175,1854,357,91
176,3433,245,69
177,4365,112,42
178,2404,248,69
179,7809,189,57
180,2709,247,69
181,3137,234,66
182,6904,237,67
183,618,242,68
184,5342,184,56
185,9700,241,68
186,8066,248,69
187,1715,249,69
188,6154,102,40
189,886,248,69
190,7504,142,48
191,30,231,66
192,9732,150,50
193,464,227,65
194,7498,249,69
195,110,238,67
196,935,176,55
197,6563,248,69
198,33,249,69
199,2123,96,39
200,4814,232,66
201,154,202,60
202,3376,217,63
203,3568,240,68
204,950,279,75
205,2300,247,69
206,3744,218,63
207,3857,200,60
208,567,48,29
209,57,249,69
210,8540,247,69
211,2349,246,69
212,6851,244,68
213,1302,264,72
214,1211,64,32
215,4370,249,69
216,685,99,39
217,3945,40,28
218,974,246,69
219,411,194,58
220,132,168,53
221,6138,143,48
222,420,236,67
223,1021,233,66
224,554,238,67
225,2867,248,69
226,3113,249,69
227,1472,238,67
228,957,131,46
229,700,179,55
230,3078,330,86
231,4730,69,33
232,4894,243,68
233,4197,249,69
234,2869,31,26
235,3851,182,56
236,2717,236,67
237,1338,143,48
238,6448,166,53
239,249,249,69
240,48,162,52
241,370,192,58
242,4928,208,61
243,1,249,69
244,956,245,69
245,4320,14,22
246,345,241,68
247,4478,265,73
248,4294,243,68
249,7844,247,69
250,262,222,64
251,6887,167,53
252,8185,247,69
253,1584,151,50
254,7563,213,62
255,5482,353,90
256,564,342,88
257,3069,355,91
258,2473,212,62
259,8826,79,35
260,6645,200,60
261,4344,489,117
262,8765,242,68
263,7656,202,60
264,4093,114,42
265,6032,84,36
266,713,197,59
267,2243,248,69
268,6346,4,20
269,7634,173,54
270,1729,194,58
271,3590,181,56
272,2929,248,69
273,3380,249,69
274,4936,220,64
275,6948,220,64
276,139,225,65
277,2633,249,69
278,6648,238,67
279,4092,231,66
280,222,235,67
281,632,236,67
282,6,144,48
283,3319,66,33
